姓名,工号,性别,权限,有空
m-10001,10001,1,6,1
m-10002,10002,1,7,2
m-10003,10003,1,7,3
m-10004,10004,1,7,4
m-10005,10005,1,6,5
m-10006,10006,1,7,6
m-10007,10007,1,6,7
m-10008,10008,1,6,1
m-10009,10009,1,7,2
m-10010,10010,1,6,3
m-10011,10011,1,6,4
m-10012,10012,1,6,5
m-zs-10013,10013,1,2,6
m-10014,10014,1,6,7
m-10015,10015,1,6,1
m-10016,10016,1,7,2
m-zs-10017,10017,1,2,3
m-10018,10018,1,6,4
m-10019,10019,1,7,5
m-10020,10020,1,7,6
m-10021,10021,1,7,7
m-10022,10022,1,7,1
m-zs-10023,10023,1,3,2
m-10024,10024,1,7,3
m-10025,10025,1,6,4
m-10026,10026,1,7,5
m-10027,10027,1,6,6
m-10028,10028,1,7,7
m-10029,10029,1,7,1
m-10030,10030,1,6,2
m-10031,10031,1,7,3
m-10032,10032,1,7,4
m-10033,10033,1,7,5
m-10034,10034,1,6,6
m-10035,10035,1,6,7
m-10036,10036,1,6,1
m-10037,10037,1,7,2
m-10038,10038,1,7,3
m-10039,10039,1,7,4
m-zs-10040,10040,1,0,5
m-10041,10041,1,7,6
m-10042,10042,1,7,7
m-10043,10043,1,6,1
m-10044,10044,1,7,2
m-zs-10045,10045,1,2,3
m-10046,10046,1,6,4
m-10047,10047,1,7,5
m-10048,10048,1,6,6
m-10049,10049,1,7,7
m-10050,10050,1,7,1
m-10051,10051,1,6,2
m-10052,10052,1,7,3
m-10053,10053,1,7,4
m-10054,10054,1,6,5
m-10055,10055,1,7,6
m-10056,10056,1,6,7
m-10057,10057,1,7,1
m-10058,10058,1,7,2
m-10059,10059,1,7,3
m-zs-10060,10060,1,3,4
m-10061,10061,1,7,5
m-10062,10062,1,6,6
m-10063,10063,1,7,7
m-10064,10064,1,6,1
m-10065,10065,1,7,2
m-10066,10066,1,7,3
m-10067,10067,1,7,4
m-10068,10068,1,6,5
m-10069,10069,1,6,6
m-zs-10070,10070,1,1,7
m-10071,10071,1,6,1
m-10072,10072,1,7,2
m-10073,10073,1,7,3
m-10074,10074,1,6,4
m-zs-10075,10075,1,3,5
f-zs-10076,10076,0,3,6
f-10077,10077,0,6,7
f-10078,10078,0,6,1
f-10079,10079,0,6,2
f-10080,10080,0,6,3
f-10081,10081,0,7,4
f-10082,10082,0,7,5
f-10083,10083,0,6,6
f-10084,10084,0,6,7
f-10085,10085,0,6,1
f-10086,10086,0,7,2
f-10087,10087,0,6,3
f-10088,10088,0,7,4
f-10089,10089,0,7,5
f-10090,10090,0,7,6
f-zs-10091,10091,0,3,7
f-10092,10092,0,7,1
f-10093,10093,0,6,2
f-zs-10094,10094,0,3,3
f-10095,10095,0,7,4
f-10096,10096,0,6,5
f-10097,10097,0,6,6
f-10098,10098,0,7,7
f-10099,10099,0,7,1
f-10100,10100,0,7,2
